"id;""name"";""country"";""shipping_cost"";""status"";""created_at"";""updated_at"""
"1;""Dhaka"";""Bangladesh"";""0.00"";""1"";""2019-04-06 00:00:00"";""2019-04-06 00:00:00"";"
"2;""Faridpur"";""Bangladesh"";""0.00"";""1"";""2019-04-06 00:00:00"";""2019-04-06 00:00:00"";"
"3;""Gazipur"";""Bangladesh"";""0.00"";""1"";""2019-04-06 00:00:00"";""2019-04-06 00:00:00"";"
"4;""Gopalganj"";""Bangladesh"";""0.00"";""1"";""2019-04-06 00:00:00"";""2019-04-06 00:00:00"";"
"5;""Jamalpur"";""Bangladesh"";""0.00"";""1"";""2019-04-06 00:00:00"";""2019-04-06 00:00:00"";"
"6;""Kishoreganj"";""Bangladesh"";""0.00"";""1"";""2019-04-06 00:00:00"";""2019-04-06 00:00:00"";"
"7;""Madaripur"";""Bangladesh"";""0.00"";""1"";""2019-04-06 00:00:00"";""2019-04-06 00:00:00"";"
"8;""Manikganj"";""Bangladesh"";""0.00"";""1"";""2019-04-06 00:00:00"";""2019-04-06 00:00:00"";"
"9;""Munshiganj"";""Bangladesh"";""0.00"";""1"";""2019-04-06 00:00:00"";""2019-04-06 00:00:00"";"
"10;""Mymensingh"";""Bangladesh"";""0.00"";""1"";""2019-04-06 00:00:00"";""2019-04-06 00:00:00"";"
"11;""Narayanganj"";""Bangladesh"";""0.00"";""1"";""2019-04-06 00:00:00"";""2019-04-06 00:00:00"";"
"12;""Narsingdi"";""Bangladesh"";""0.00"";""1"";""2019-04-06 00:00:00"";""2019-04-06 00:00:00"";"
"13;""Netrokona"";""Bangladesh"";""0.00"";""1"";""2019-04-06 00:00:00"";""2019-04-06 00:00:00"";"
"14;""Rajbari"";""Bangladesh"";""0.00"";""1"";""2019-04-06 00:00:00"";""2019-04-06 00:00:00"";"
"15;""Shariatpur"";""Bangladesh"";""0.00"";""1"";""2019-04-06 00:00:00"";""2019-04-06 00:00:00"";"
"16;""Sherpur"";""Bangladesh"";""0.00"";""1"";""2019-04-06 00:00:00"";""2019-04-06 00:00:00"";"
"17;""Tangail"";""Bangladesh"";""0.00"";""1"";""2019-04-06 00:00:00"";""2019-04-06 00:00:00"";"
"18;""Bogra"";""Bangladesh"";""0.00"";""1"";""2019-04-06 00:00:00"";""2019-04-06 00:00:00"";"
"19;""Joypurhat"";""Bangladesh"";""0.00"";""1"";""2019-04-06 00:00:00"";""2019-04-06 00:00:00"";"
"20;""Naogaon"";""Bangladesh"";""0.00"";""1"";""2019-04-06 00:00:00"";""2019-04-06 00:00:00"";"
"21;""Natore"";""Bangladesh"";""0.00"";""1"";""2019-04-06 00:00:00"";""2019-04-06 00:00:00"";"
"22;""Nawabganj"";""Bangladesh"";""0.00"";""1"";""2019-04-06 00:00:00"";""2019-04-06 00:00:00"";"
"23;""Pabna"";""Bangladesh"";""0.00"";""1"";""2019-04-06 00:00:00"";""2019-04-06 00:00:00"";"
"24;""Rajshahi"";""Bangladesh"";""0.00"";""1"";""2019-04-06 00:00:00"";""2019-04-06 00:00:00"";"
"25;""Sirajgonj"";""Bangladesh"";""0.00"";""1"";""2019-04-06 00:00:00"";""2019-04-06 00:00:00"";"
"26;""Dinajpur"";""Bangladesh"";""0.00"";""1"";""2019-04-06 00:00:00"";""2019-04-06 00:00:00"";"
"27;""Gaibandha"";""Bangladesh"";""0.00"";""1"";""2019-04-06 00:00:00"";""2019-04-06 00:00:00"";"
"28;""Kurigram"";""Bangladesh"";""0.00"";""1"";""2019-04-06 00:00:00"";""2019-04-06 00:00:00"";"
"29;""Lalmonirhat"";""Bangladesh"";""0.00"";""1"";""2019-04-06 00:00:00"";""2019-04-06 00:00:00"";"
"30;""Nilphamari"";""Bangladesh"";""0.00"";""1"";""2019-04-06 00:00:00"";""2019-04-06 00:00:00"";"
"31;""Panchagarh"";""Bangladesh"";""0.00"";""1"";""2019-04-06 00:00:00"";""2019-04-06 00:00:00"";"
"32;""Rangpur"";""Bangladesh"";""0.00"";""1"";""2019-04-06 00:00:00"";""2019-04-06 00:00:00"";"
"33;""Thakurgaon"";""Bangladesh"";""0.00"";""1"";""2019-04-06 00:00:00"";""2019-04-06 00:00:00"";"
"34;""Barguna"";""Bangladesh"";""0.00"";""1"";""2019-04-06 00:00:00"";""2019-04-06 00:00:00"";"
"35;""Barisal"";""Bangladesh"";""0.00"";""1"";""2019-04-06 00:00:00"";""2019-04-06 00:00:00"";"
"36;""Bhola"";""Bangladesh"";""0.00"";""1"";""2019-04-06 00:00:00"";""2019-04-06 00:00:00"";"
"37;""Jhalokati"";""Bangladesh"";""0.00"";""1"";""2019-04-06 00:00:00"";""2019-04-06 00:00:00"";"
"38;""Patuakhali"";""Bangladesh"";""0.00"";""1"";""2019-04-06 00:00:00"";""2019-04-06 00:00:00"";"
"39;""Pirojpur"";""Bangladesh"";""0.00"";""1"";""2019-04-06 00:00:00"";""2019-04-06 00:00:00"";"
"40;""Bandarban"";""Bangladesh"";""0.00"";""1"";""2019-04-06 00:00:00"";""2019-04-06 00:00:00"";"
"41;""Brahmanbaria"";""Bangladesh"";""0.00"";""1"";""2019-04-06 00:00:00"";""2019-04-06 00:00:00"";"
"42;""Chandpur"";""Bangladesh"";""0.00"";""1"";""2019-04-06 00:00:00"";""2019-04-06 00:00:00"";"
"43;""Chittagong"";""Bangladesh"";""0.00"";""1"";""2019-04-06 00:00:00"";""2019-04-06 00:00:00"";"
"44;""Comilla"";""Bangladesh"";""0.00"";""1"";""2019-04-06 00:00:00"";""2019-04-06 00:00:00"";"
"45;""Coxs"";""Bangladesh"";""0.00"";""1"";""2019-04-06 00:00:00"";""2019-04-06 00:00:00"";"
"46;""Feni"";""Bangladesh"";""0.00"";""1"";""2019-04-06 00:00:00"";""2019-04-06 00:00:00"";"
"47;""Khagrachari"";""Bangladesh"";""0.00"";""1"";""2019-04-06 00:00:00"";""2019-04-06 00:00:00"";"
"48;""Lakshmipur"";""Bangladesh"";""0.00"";""1"";""2019-04-06 00:00:00"";""2019-04-06 00:00:00"";"
"49;""Noakhali"";""Bangladesh"";""0.00"";""1"";""2019-04-06 00:00:00"";""2019-04-06 00:00:00"";"
"50;""Rangamati"";""Bangladesh"";""0.00"";""1"";""2019-04-06 00:00:00"";""2019-04-06 00:00:00"";"
"51;""Habiganj"";""Bangladesh"";""0.00"";""1"";""2019-04-06 00:00:00"";""2019-04-06 00:00:00"";"
"52;""Maulvibazar"";""Bangladesh"";""0.00"";""1"";""2019-04-06 00:00:00"";""2019-04-06 00:00:00"";"
"53;""Sunamganj"";""Bangladesh"";""0.00"";""1"";""2019-04-06 00:00:00"";""2019-04-06 00:00:00"";"
"54;""Sylhet"";""Bangladesh"";""0.00"";""1"";""2019-04-06 00:00:00"";""2019-04-06 00:00:00"";"
"55;""Bagerhat"";""Bangladesh"";""0.00"";""1"";""2019-04-06 00:00:00"";""2019-04-06 00:00:00"";"
"56;""Chuadanga"";""Bangladesh"";""0.00"";""1"";""2019-04-06 00:00:00"";""2019-04-06 00:00:00"";"
"57;""Jessore"";""Bangladesh"";""0.00"";""1"";""2019-04-06 00:00:00"";""2019-04-06 00:00:00"";"
"58;""Jhenaidah"";""Bangladesh"";""0.00"";""1"";""2019-04-06 00:00:00"";""2019-04-06 00:00:00"";"
"59;""Khulna"";""Bangladesh"";""0.00"";""1"";""2019-04-06 00:00:00"";""2019-04-06 00:00:00"";"
"60;""Kushtia"";""Bangladesh"";""0.00"";""1"";""2019-04-06 00:00:00"";""2019-04-06 00:00:00"";"
"61;""Magura"";""Bangladesh"";""0.00"";""1"";""2019-04-06 00:00:00"";""2019-04-06 00:00:00"";"
"62;""Meherpur"";""Bangladesh"";""0.00"";""1"";""2019-04-06 00:00:00"";""2019-04-06 00:00:00"";"
"63;""Narail"";""Bangladesh"";""0.00"";""1"";""2019-04-06 00:00:00"";""2019-04-06 00:00:00"";"
"64;""Satkhira"";""Bangladesh"";""0.00"";""1"";""2019-04-06 00:00:00"";""2019-04-06 00:00:00"";"
